,latitud,longitud,year,matching_accuracy
8145,28.020065307617188,69.5401611328125,2015,3.0
8148,28.020065307617188,69.5401611328125,2018,3.0
8160,28.027517318725586,69.32381439208984,2015,3.0
8163,28.027517318725586,69.32381439208984,2018,3.0
8170,28.027517318725586,69.32381439208984,2015,3.0
8173,28.027517318725586,69.32381439208984,2018,3.0
8330,28.31242561340332,70.12093353271484,2015,3.0
8333,28.31242561340332,70.12093353271484,2018,3.0
8335,28.31242561340332,70.12093353271484,2015,3.0
8338,28.31242561340332,70.12093353271484,2018,3.0
8465,27.516220092773438,69.04426574707031,2015,3.0
8468,27.516220092773438,69.04426574707031,2018,3.0
8785,25.82630920410156,66.62447357177734,2015,3.0
8788,25.82630920410156,66.62447357177734,2018,3.0
8820,24.66481018066406,68.83474731445312,2015,3.0
8823,24.66481018066406,68.83474731445312,2018,3.0
8835,24.7883483371219,68.9668974119417,2015,3.0
8838,24.7883483371219,68.9668974119417,2018,3.0
8840,24.78871726989746,68.96553039550781,2015,3.0
8843,24.78871726989746,68.96553039550781,2018,3.0
8855,28.02074432373047,69.56770324707031,2015,3.0
8858,28.02074432373047,69.56770324707031,2018,3.0
8860,28.15216064453125,69.73469543457031,2015,3.0
8863,28.15216064453125,69.73469543457031,2018,3.0
8865,28.15216064453125,69.73469543457031,2015,3.0
8868,28.15216064453125,69.73469543457031,2018,3.0
8880,35.204586029052734,71.87625885009766,2015,3.0
8883,35.204586029052734,71.87625885009766,2018,3.0
8905,35.32265853881836,72.0543212890625,2015,3.0
8908,35.32265853881836,72.0543212890625,2018,3.0
8910,32.21350860595703,70.38898468017578,2015,3.0
8913,32.21350860595703,70.38898468017578,2018,3.0
8915,32.21350860595703,70.38898468017578,2015,3.0
8918,32.21350860595703,70.38898468017578,2018,3.0
8925,24.66481018066406,68.83474731445312,2015,3.0
8928,24.66481018066406,68.83474731445312,2018,3.0
8930,29.89788055419922,69.52596282958984,2015,3.0
8933,29.89788055419922,69.52596282958984,2018,3.0
8935,31.42675018310547,73.0820541381836,2015,4.0
8938,31.42675018310547,73.0820541381836,2018,4.0
8975,29.895469665527344,69.24327087402344,2015,3.0
8978,29.895469665527344,69.24327087402344,2018,3.0
8980,28.88526725769043,64.41112518310547,2015,3.0
8983,28.88526725769043,64.41112518310547,2018,3.0
8985,28.88526725769043,64.41112518310547,2015,3.0
8988,28.88526725769043,64.41112518310547,2018,3.0
9210,28.940629959106445,70.94959259033203,2015,3.0
9213,28.940629959106445,70.94959259033203,2018,3.0
9235,28.432050704956055,70.34088897705078,2015,4.0
9238,28.432050704956055,70.34088897705078,2018,4.0
9255,28.434812545776367,70.23008728027344,2015,3.0
9258,28.434812545776367,70.23008728027344,2018,3.0
9260,28.551742553710938,70.46754455566406,2015,3.0
9263,28.551742553710938,70.46754455566406,2018,3.0
9395,28.292476654052734,70.12523651123047,2015,3.0
9398,28.292476654052734,70.12523651123047,2018,3.0
9430,28.551742553710938,70.46754455566406,2015,3.0
9433,28.551742553710938,70.46754455566406,2018,3.0
9455,28.652347564697266,70.65719604492188,2015,3.0
9458,28.652347564697266,70.65719604492188,2018,3.0
9505,28.312578201293945,70.13209533691406,2015,3.0
9508,28.312578201293945,70.13209533691406,2018,3.0
9510,28.29489517211914,70.12505340576172,2015,3.0
9513,28.29489517211914,70.12505340576172,2018,3.0
9515,28.31242561340332,70.12093353271484,2015,3.0
9518,28.31242561340332,70.12093353271484,2018,3.0
9660,28.932106018066406,70.95979309082031,2015,3.0
9663,28.932106018066406,70.95979309082031,2018,3.0
9690,28.42345428466797,70.31267547607422,2015,3.0
9693,28.42345428466797,70.31267547607422,2018,3.0
9825,28.65020179748535,70.67937469482422,2015,3.0
9828,28.65020179748535,70.67937469482422,2018,3.0
9975,31.306230545043945,72.57756805419922,2015,3.0
9978,31.306230545043945,72.57756805419922,2018,3.0
10005,31.82809066772461,72.80548095703125,2015,3.0
10008,31.82809066772461,72.80548095703125,2018,3.0
10025,31.7216854095459,72.97383117675781,2015,3.0
10028,31.7216854095459,72.97383117675781,2018,3.0
10135,31.031490325927734,73.13298797607422,2015,3.0
10300,29.43553924560547,70.49700164794922,2015,3.0
10303,29.43553924560547,70.49700164794922,2018,3.0
10320,28.165830612182617,69.72882080078125,2015,3.0
10323,28.165830612182617,69.72882080078125,2018,3.0
10325,27.91464614868164,69.51644134521484,2015,3.0
10328,27.91464614868164,69.51644134521484,2018,3.0
10345,31.14742660522461,72.6824722290039,2015,3.0
10348,31.14742660522461,72.6824722290039,2018,3.0
10350,31.14674186706543,72.68235778808594,2015,3.0
10353,31.14674186706543,72.68235778808594,2018,3.0
10360,24.652769088745117,68.53092193603516,2015,3.0
10363,24.652769088745117,68.53092193603516,2018,3.0
10465,30.72603416442871,72.6480484008789,2015,3.0
10470,31.119304656982422,74.44090270996094,2015,4.0
10473,31.119304656982422,74.44090270996094,2018,4.0
10475,31.171079635620117,74.10637664794922,2015,3.0
10478,31.171079635620117,74.10637664794922,2018,3.0
10515,31.82550811767578,72.80448913574219,2015,3.0
10518,31.82550811767578,72.80448913574219,2018,3.0
10540,31.82537078857422,72.79296875,2015,3.0
10543,31.82537078857422,72.79296875,2018,3.0
10570,28.027118682861328,69.57646179199219,2015,3.0
10573,28.027118682861328,69.57646179199219,2018,3.0
10690,27.81446075439453,69.10894012451172,2015,3.0
10693,27.81446075439453,69.10894012451172,2018,3.0
10705,27.783702850341797,69.11709594726562,2015,3.0
10708,27.783702850341797,69.11709594726562,2018,3.0
10715,27.815645217895508,69.10789489746094,2015,3.0
10718,27.815645217895508,69.10789489746094,2018,3.0
10740,27.851240158081055,69.10062408447266,2015,3.0
10743,27.851240158081055,69.10062408447266,2018,3.0
10745,27.69716453552246,68.86996459960938,2015,4.0
10748,27.69716453552246,68.86996459960938,2018,4.0
10780,27.800107955932617,69.13553619384766,2015,3.0
10783,27.800107955932617,69.13553619384766,2018,3.0
10785,27.865571975708008,69.1169204711914,2015,3.0
10788,27.865571975708008,69.1169204711914,2018,3.0
10790,27.8144588470459,69.10894775390625,2015,3.0
10793,27.8144588470459,69.10894775390625,2018,3.0
10885,27.858015060424805,69.10213470458984,2015,3.0
10888,27.858015060424805,69.10213470458984,2018,3.0
10905,27.727317810058594,68.82575225830078,2015,4.0
10908,27.727317810058594,68.82575225830078,2018,4.0
10910,27.64738655090332,68.71697998046875,2015,3.0
10913,27.64738655090332,68.71697998046875,2018,3.0
10915,27.647388458251953,68.71698760986328,2015,3.0
10918,27.647388458251953,68.71698760986328,2018,3.0
10920,27.525583267211914,68.75507354736328,2015,3.0
10923,27.525583267211914,68.75507354736328,2018,3.0
11015,28.165250778198242,69.75169372558594,2015,3.0
11018,28.165250778198242,69.75169372558594,2018,3.0
11055,28.15287971496582,69.7343978881836,2015,3.0
11058,28.15287971496582,69.7343978881836,2018,3.0
11060,28.15204620361328,69.73495483398438,2015,3.0
11063,28.15204620361328,69.73495483398438,2018,3.0
11205,30.299423217773438,71.92250061035156,2015,4.0
11208,30.299423217773438,71.92250061035156,2018,4.0
11220,28.432050704956055,70.34088897705078,2015,4.0
11223,28.432050704956055,70.34088897705078,2018,4.0
11255,28.29489517211914,70.12505340576172,2015,3.0
11258,28.29489517211914,70.12505340576172,2018,3.0
11425,31.5661879331528,72.6493844005742,2015,3.0
11428,31.5661879331528,72.6493844005742,2018,3.0
11450,31.566261291503906,72.64877319335938,2015,3.0
11453,31.566261291503906,72.64877319335938,2018,3.0
11505,25.448200225830078,68.274169921875,2015,3.0
11508,25.448200225830078,68.274169921875,2018,3.0
11595,32.07187271118164,73.68731689453125,2015,3.0
11598,32.07187271118164,73.68731689453125,2018,3.0
11605,27.68640899658203,68.89697265625,2015,3.0
11608,27.68640899658203,68.89697265625,2018,3.0
11620,27.68640899658203,68.89697265625,2015,3.0
11623,27.68640899658203,68.89697265625,2018,3.0
11630,26.426742553710938,67.86539459228516,2015,3.0
11633,26.426742553710938,67.86539459228516,2018,3.0
11645,27.725767135620117,68.82907104492188,2015,4.0
11655,27.724937438964844,68.82301330566406,2015,4.0
11658,27.724937438964844,68.82301330566406,2018,4.0
11660,27.724374771118164,68.82281494140625,2015,3.0
11663,27.724374771118164,68.82281494140625,2018,3.0
11695,27.595260620117188,68.86443328857422,2015,3.0
11698,27.595260620117188,68.86443328857422,2018,3.0
11705,27.678424835205078,68.91616821289062,2015,3.0
11708,27.678424835205078,68.91616821289062,2018,3.0
11720,27.66867446899414,68.89434814453125,2015,3.0
11723,27.66867446899414,68.89434814453125,2018,3.0
11725,27.66972160339355,68.8953628540039,2015,3.0
11728,27.66972160339355,68.8953628540039,2018,3.0
11735,27.724374771118164,68.82280731201172,2015,3.0
11738,27.724374771118164,68.82280731201172,2018,3.0
11755,27.723987579345703,68.82164001464844,2015,4.0
11758,27.723987579345703,68.82164001464844,2018,4.0
11760,27.586811065673828,68.86304473876953,2015,3.0
11763,27.586811065673828,68.86304473876953,2018,3.0
11775,27.686166763305664,68.91092681884766,2015,3.0
11778,27.686166763305664,68.91092681884766,2018,3.0
11780,27.724937438964844,68.82301330566406,2015,4.0
11783,27.724937438964844,68.82301330566406,2018,4.0
11795,27.586816787719727,68.86305236816406,2015,3.0
11798,27.586816787719727,68.86305236816406,2018,3.0
11800,27.858732223510742,68.83324432373047,2015,3.0
11803,27.858732223510742,68.83324432373047,2018,3.0
11835,28.15287971496582,69.7343978881836,2015,3.0
11838,28.15287971496582,69.7343978881836,2018,3.0
11845,28.314252853393555,69.79230499267578,2015,3.0
11848,28.314252853393555,69.79230499267578,2018,3.0
11855,29.04884910583496,71.3128433227539,2015,3.0
11858,29.04884910583496,71.3128433227539,2018,3.0
12265,31.347665786743164,69.49546813964844,2015,4.0
12268,31.347665786743164,69.49546813964844,2018,4.0
12280,31.719409942626953,72.98312377929688,2015,3.0
12283,31.719409942626953,72.98312377929688,2018,3.0
12290,31.718460083007812,72.9835433959961,2015,3.0
12293,31.718460083007812,72.9835433959961,2018,3.0
12450,28.022722244262695,69.31641387939453,2015,4.0
12453,28.022722244262695,69.31641387939453,2018,4.0
12460,27.858726501464844,68.83323669433594,2015,3.0
12463,27.858726501464844,68.83323669433594,2018,3.0
12485,27.72641944885254,68.82180786132812,2015,4.0
12488,27.72641944885254,68.82180786132812,2018,4.0
12500,28.514902114868164,70.05058288574219,2015,3.0
12503,28.514902114868164,70.05058288574219,2018,3.0
12615,28.94142723083496,70.93582916259766,2015,3.0
12618,28.94142723083496,70.93582916259766,2018,3.0
12675,31.728960037231445,72.99349212646484,2015,3.0
12678,31.728960037231445,72.99349212646484,2018,3.0
12750,30.37527465820313,68.61064147949219,2015,4.0
12753,30.37527465820313,68.61064147949219,2018,4.0
12760,29.1441707611084,71.25618743896484,2015,3.0
12763,29.1441707611084,71.25618743896484,2018,3.0
12870,33.88677597045898,72.74739074707031,2015,3.0
12873,33.88677597045898,72.74739074707031,2018,3.0
12880,31.571544647216797,74.32171630859375,2015,4.0
12883,31.571544647216797,74.32171630859375,2018,4.0
12935,27.644750595092773,68.83175659179688,2015,3.0
12938,27.644750595092773,68.83175659179688,2018,3.0
13300,30.92284393310547,72.70097351074219,2015,3.0
13303,30.92284393310547,72.70097351074219,2018,3.0
13345,30.915773391723633,72.77769470214844,2015,4.0
13348,30.915773391723633,72.77769470214844,2018,4.0
13350,30.881093978881836,72.78469848632812,2015,4.0
13353,30.881093978881836,72.78469848632812,2018,4.0
13995,27.995189666748047,69.31331634521484,2015,3.0
13998,27.995189666748047,69.31331634521484,2018,3.0
14060,28.052860260009766,69.70100402832031,2015,3.0
14063,28.052860260009766,69.70100402832031,2018,3.0
14180,27.817869186401367,69.10934448242188,2015,3.0
14183,27.817869186401367,69.10934448242188,2018,3.0
14185,27.860652923583984,69.10302734375,2015,3.0
14188,27.860652923583984,69.10302734375,2018,3.0
14190,27.72400856018066,68.83002471923828,2015,3.0
14193,27.72400856018066,68.83002471923828,2018,3.0
14195,27.850650787353516,69.1052474975586,2015,3.0
14198,27.850650787353516,69.1052474975586,2018,3.0
14205,27.813871383666992,69.10855865478516,2015,3.0
14208,27.813871383666992,69.10855865478516,2018,3.0
14210,27.815645217895508,69.10789489746094,2015,3.0
14213,27.815645217895508,69.10789489746094,2018,3.0
14215,27.84946441650391,68.69976043701172,2015,3.0
14218,27.84946441650391,68.69976043701172,2018,3.0
14220,27.8144588470459,69.10894775390625,2015,3.0
14223,27.8144588470459,69.10894775390625,2018,3.0
14225,27.81707763671875,69.1089096069336,2015,3.0
14228,27.81707763671875,69.1089096069336,2018,3.0
14245,27.724382400512695,68.82280731201172,2015,3.0
14248,27.724382400512695,68.82280731201172,2018,3.0
14265,27.66991233825684,68.89397430419922,2015,3.0
14268,27.66991233825684,68.89397430419922,2018,3.0
14270,27.724374771118164,68.82280731201172,2015,3.0
14285,27.725345611572266,68.8306655883789,2015,4.0
14288,27.725345611572266,68.8306655883789,2018,4.0
14290,27.664873123168945,68.92127990722656,2015,3.0
14293,27.664873123168945,68.92127990722656,2018,3.0
14295,27.736085891723633,68.817626953125,2015,3.0
14298,27.736085891723633,68.817626953125,2018,3.0
14305,27.68706130981445,68.89762115478516,2015,3.0
14308,27.68706130981445,68.89762115478516,2018,3.0
14375,31.463050842285156,73.11052703857422,2015,4.0
14378,31.463050842285156,73.11052703857422,2018,4.0
14585,31.71910285949707,72.98255920410156,2015,3.0
14588,31.71910285949707,72.98255920410156,2018,3.0
14840,31.203214645385742,73.17039489746094,2015,3.0
14843,31.203214645385742,73.17039489746094,2018,3.0
15070,31.06391143798828,72.95645904541016,2015,3.0
15073,31.06391143798828,72.95645904541016,2018,3.0
15075,30.96638298034668,72.48031616210938,2015,3.0
15078,30.96638298034668,72.48031616210938,2018,3.0
15085,30.88350486755371,72.80349731445312,2015,4.0
15088,30.88350486755371,72.80349731445312,2018,4.0
15100,31.487579345703125,73.15645599365234,2015,4.0
15103,31.487579345703125,73.15645599365234,2018,4.0
15105,30.90313148498535,72.7551040649414,2015,4.0
15108,30.90313148498535,72.7551040649414,2018,4.0
15110,30.980602264404297,72.77119445800781,2015,4.0
15113,30.980602264404297,72.77119445800781,2018,4.0
15130,32.0821418762207,72.6776351928711,2015,3.0
15133,32.0821418762207,72.6776351928711,2018,3.0
15225,31.449604034423828,73.10558319091797,2015,3.0
15228,31.449604034423828,73.10558319091797,2018,3.0
15685,31.82142448425293,72.79721069335938,2015,3.0
15688,31.82142448425293,72.79721069335938,2018,3.0
15860,31.313779830932617,73.53135681152344,2015,3.0
15863,31.313779830932617,73.53135681152344,2018,3.0
16020,27.81707763671875,69.1089096069336,2015,3.0
16023,27.81707763671875,69.1089096069336,2018,3.0
16080,27.814462661743164,69.10894012451172,2015,3.0
16083,27.814462661743164,69.10894012451172,2018,3.0
16115,27.80930709838867,69.14085388183594,2015,3.0
16118,27.80930709838867,69.14085388183594,2018,3.0
16130,27.81692123413086,69.10701751708984,2015,3.0
16133,27.81692123413086,69.10701751708984,2018,3.0
16170,27.843400955200195,69.41271209716797,2015,3.0
16173,27.843400955200195,69.41271209716797,2018,3.0
16190,27.864904403686523,69.1084976196289,2015,3.0
16193,27.864904403686523,69.1084976196289,2018,3.0
16200,27.814462661743164,69.10894012451172,2015,3.0
16203,27.814462661743164,69.10894012451172,2018,3.0
16205,28.506454467773438,70.6144027709961,2015,3.0
16208,28.506454467773438,70.6144027709961,2018,3.0
16275,35.2042121887207,71.87509155273438,2015,3.0
16278,35.2042121887207,71.87509155273438,2018,3.0
16300,34.801910400390625,71.39295196533203,2015,3.0
16303,34.801910400390625,71.39295196533203,2018,3.0
16335,27.938161849975586,69.31824493408203,2015,3.0
16338,27.938161849975586,69.31824493408203,2018,3.0
16345,27.81446075439453,69.10894012451172,2015,3.0
16348,27.81446075439453,69.10894012451172,2018,3.0
16355,27.814477920532227,69.10839080810547,2015,3.0
16358,27.814477920532227,69.10839080810547,2018,3.0
16420,27.957059860229492,68.63798522949219,2015,3.0
16423,27.957059860229492,68.63798522949219,2018,3.0
16540,30.198455810546875,67.01864624023438,2015,3.0
16543,30.198455810546875,67.01864624023438,2018,3.0
16580,31.89168930053711,70.92035675048828,2015,3.0
16583,31.89168930053711,70.92035675048828,2018,3.0
16605,30.53120231628418,72.71217346191406,2015,3.0
16608,30.53120231628418,72.71217346191406,2018,3.0
16610,31.42021942138672,73.07927703857422,2015,4.0
16613,31.42021942138672,73.07927703857422,2018,4.0
16835,27.528499603271484,68.75858306884766,2015,3.0
16838,27.528499603271484,68.75858306884766,2018,3.0
16845,32.47776794433594,72.91413879394531,2015,3.0
16848,32.47776794433594,72.91413879394531,2018,3.0
17250,27.72641944885254,68.82180786132812,2015,4.0
17253,27.72641944885254,68.82180786132812,2018,4.0
17300,25.025184631347656,66.88538360595703,2015,3.0
17303,25.025184631347656,66.88538360595703,2018,3.0
17370,30.938833236694336,72.68096923828125,2015,4.0
17373,30.938833236694336,72.68096923828125,2018,4.0
17440,30.9043025970459,73.04043579101562,2015,3.0
17443,30.9043025970459,73.04043579101562,2018,3.0
17525,28.0100040435791,69.31647491455078,2015,4.0
17528,28.0100040435791,69.31647491455078,2018,4.0
17575,28.312578201293945,70.12574005126953,2015,3.0
17578,28.312578201293945,70.12574005126953,2018,3.0
17680,32.07879638671875,72.67162322998047,2015,3.0
17683,32.07879638671875,72.67162322998047,2018,3.0
17725,27.764122009277344,68.08727264404297,2015,3.0
17728,27.764122009277344,68.08727264404297,2018,3.0
17825,31.415800094604492,73.3671646118164,2015,4.0
17828,31.415800094604492,73.3671646118164,2018,4.0
17860,27.813581466674805,69.10289764404297,2015,3.0
17863,27.813581466674805,69.10289764404297,2018,3.0
17955,27.844501495361328,69.4139633178711,2015,3.0
17958,27.844501495361328,69.4139633178711,2018,3.0
18035,28.027517318725586,69.32381439208984,2015,3.0
18038,28.027517318725586,69.32381439208984,2018,3.0
18255,25.293560028076172,68.81550598144531,2015,3.0
18258,25.293560028076172,68.81550598144531,2018,3.0
18435,27.66731834411621,68.8930435180664,2015,3.0
18438,27.66731834411621,68.8930435180664,2018,3.0
18480,27.68616676330566,68.91092681884766,2015,3.0
18483,27.68616676330566,68.91092681884766,2018,3.0
18495,27.516571044921875,69.04634857177734,2015,3.0
18498,27.516571044921875,69.04634857177734,2018,3.0
18550,27.773540496826172,69.32440185546875,2015,3.0
18553,27.773540496826172,69.32440185546875,2018,3.0
18625,28.164154052734375,69.732421875,2015,3.0
18628,28.164154052734375,69.732421875,2018,3.0
18750,27.668781280517578,68.89431762695312,2015,3.0
18753,27.668781280517578,68.89431762695312,2018,3.0
18770,27.521915435791016,68.74030303955078,2015,4.0
18773,27.521915435791016,68.74030303955078,2018,4.0
18815,27.55558967590332,68.20732116699219,2015,4.0
18818,27.55558967590332,68.20732116699219,2018,4.0
18850,27.51849937438965,69.04360961914062,2015,3.0
18853,27.51849937438965,69.04360961914062,2018,3.0
18895,27.724506378173828,68.82281494140625,2015,4.0
18898,27.724506378173828,68.82281494140625,2018,4.0
18925,28.164154052734375,69.732421875,2015,3.0
18928,28.164154052734375,69.732421875,2018,3.0
19030,27.722429275512695,68.82515716552734,2015,3.0
19033,27.722429275512695,68.82515716552734,2018,3.0
19160,27.66840934753418,68.89395141601562,2015,3.0
19163,27.66840934753418,68.89395141601562,2018,3.0
19180,29.09483528137207,70.9021224975586,2015,3.0
19183,29.09483528137207,70.9021224975586,2018,3.0
19190,30.973194122314453,73.97257995605469,2015,3.0
19193,30.973194122314453,73.97257995605469,2018,3.0
19280,31.0342348751656,73.1328886279652,2015,3.0
19283,31.0342348751656,73.1328886279652,2018,3.0
19285,27.843400955200195,69.41271209716797,2015,3.0
19288,27.843400955200195,69.41271209716797,2018,3.0
19335,33.56864547729492,73.03974151611328,2015,3.0
19338,33.56864547729492,73.03974151611328,2018,3.0
19465,27.724082946777344,68.82328796386719,2015,4.0
19468,27.724082946777344,68.82328796386719,2018,4.0
19745,31.31934928894043,73.40400695800781,2015,3.0
19748,31.31934928894043,73.40400695800781,2018,3.0
19760,27.669912338256836,68.893798828125,2015,3.0
19763,27.669912338256836,68.893798828125,2018,3.0
19845,28.18291473388672,68.04983520507812,2015,3.0
19848,28.18291473388672,68.04983520507812,2018,3.0
20135,28.0100040435791,69.31647491455078,2015,4.0
20138,28.0100040435791,69.31647491455078,2018,4.0
20375,25.293560028076172,68.81550598144531,2015,3.0
20378,25.293560028076172,68.81550598144531,2018,3.0
20535,27.85558319091797,69.10527801513672,2015,3.0
20538,27.85558319091797,69.10527801513672,2018,3.0
20675,27.66731834411621,68.8930435180664,2015,3.0
20678,27.66731834411621,68.8930435180664,2018,3.0
20740,28.421024322509766,70.30520629882812,2015,3.0
20743,28.421024322509766,70.30520629882812,2018,3.0
20975,24.896728515625,66.97200012207031,2015,3.0
20978,24.896728515625,66.97200012207031,2018,3.0
21035,27.699323654174805,68.84644317626953,2015,4.0
21038,27.699323654174805,68.84644317626953,2018,4.0
21145,28.058603286743164,69.6485366821289,2015,3.0
21148,28.058603286743164,69.6485366821289,2018,3.0
21155,27.179569244384766,67.82099151611328,2015,3.0
21158,27.179569244384766,67.82099151611328,2018,3.0
21200,25.015897750854492,67.05711364746094,2015,4.0
21203,25.015897750854492,67.05711364746094,2018,4.0
21310,31.60144805908203,73.03572845458984,2015,3.0
21313,31.60144805908203,73.03572845458984,2018,3.0
21350,27.844501495361328,69.4139633178711,2015,3.0
