,newid,year,franchiseid_clean,bank,pp_type,latitud,longitud,province,district_str,matching_accuracy,num_transac,PROVINCE,PROVINCE_0,bank_district,counter,dup,bank_cat,payment_method,start_date,n_beneficiaries,BVS_district,_merge,BVS_group,start_date_pp,end_date_pp,treatment_dt,pp_active
111640,24365.0,2015,80365,UBL,POS,34.937408447265625,72.46882629394531,N.W.F.P.,SWAT,3.0,693.0,N.W.F.P.,N.W.F.P.,UBL,25335.0,0.0,6.0,BVS,2017-03-25,123790.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,1.0
111643,24365.0,2018,80365,UBL,POS,34.937408447265625,72.46882629394531,N.W.F.P.,SWAT,3.0,2511.0,N.W.F.P.,N.W.F.P.,UBL,25335.0,0.0,6.0,BVS,2017-03-25,123790.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
111675,24372.0,2015,80575,UBL,POS,27.38178825378418,67.9185791015625,Sind,LARKANA,3.0,2172.0,Sind,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,1.0
111678,24372.0,2018,,UBL,POS,27.38178825378418,67.9185791015625,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
111735,24385.0,2015,81584,UBL,POS,34.93072509765625,72.41693878173828,N.W.F.P.,SWAT,3.0,2618.0,N.W.F.P.,N.W.F.P.,UBL,25335.0,0.0,6.0,BVS,2017-03-25,123790.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,1.0
111738,24385.0,2018,,UBL,POS,34.93072509765625,72.41693878173828,,SWAT,3.0,,,N.W.F.P.,UBL,25335.0,0.0,6.0,BVS,2017-03-25,123790.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
111825,24404.0,2015,82609,UBL,POS,33.52381896972656,74.07384490966797,Azad Kashmir,KOTLI,3.0,1663.0,Azad Kashmir,Azad Kashmir,UBL,2473.0,0.0,6.0,BVS,2018-03-25,12431.0,1.0,matched (3),4.0,2015-07-01,2016-06-30,0.0,1.0
111828,24404.0,2018,82609,UBL,POS,33.52381896972656,74.07384490966797,Azad Kashmir,KOTLI,3.0,237.0,Azad Kashmir,Azad Kashmir,UBL,2473.0,0.0,6.0,BVS,2018-03-25,12431.0,1.0,matched (3),4.0,2018-07-01,2019-06-30,1.0,1.0
111870,24414.0,2015,,UBL,POS,27.381418228149414,67.91712188720703,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
111873,24414.0,2018,,UBL,POS,27.381418228149414,67.91712188720703,,LARKANA,3.0,,,Sind,HBL,16452.0,0.0,2.0,BVS,2017-03-25,63337.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,0.0
111915,24424.0,2015,,UBL,POS,34.40176010131836,71.33312225341797,,MOHMAND AGENCY,3.0,,,F.A.T.A.,UBL,5378.0,0.0,6.0,BVS,2017-03-25,24048.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
111918,24424.0,2018,83517,UBL,POS,34.40176010131836,71.33312225341797,F.A.T.A.,MOHMAND AGENCY,3.0,577.0,F.A.T.A.,F.A.T.A.,UBL,5378.0,0.0,6.0,BVS,2017-03-25,24048.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
